100,continue
200,ok
201,created
202,accepted
203,non-auth info
204,no content
206,partial content
207,multi-status
208,already reported
226,IM used
300,multiple choices
301, moved permanently
302.found
303,see other
304,not modified
305,use proxy
306,switch proxy
307,temporary redirect
308,permanent redirect
400,bad request
401,unauthorized
402,payment required
403,forbidden
404,not found
405,method not allowed
406,not acceptable
407,proxy auth required
408,request timeout
409,conflict
410,gone
411,length required
412,precondition failed
413,request entity too large
414,request-URL too long
416, request range not satisfiable
417,expectation failed
420,enhance your claim
422,unprocessable entity
423,locked
424,failed dependency
425,unordered collection
426,upgrade required
429,too many requests
431,request header fields too large
444,no reponse
450,blocked by window parental controls
451,unavailable for legal reasons
494,request header too large
500,internal server error
501,not implemented
502,bad gateway
503,service unavailable
504,gateway timeout
506,variant also negociates
507,insufficient storage
508,loop detected
509,bandwidth limit exceeded
510,not extended
